Station,Latitude,Longitude
BARROW_STREET,53.341655,-6.236198
BENSON_STREET,53.344153,-6.233451
BLACKHALL_PLACE,53.3488,-6.281637
BLESSINGTON_STREET,53.356769,-6.26814
BOLTON_STREET,53.351182,-6.269859
BROOKFIELD_ROAD,53.339005,-6.300217
CATHAL_BRUGHA_STREET,53.352149,-6.260533
CHARLEMONT_PLACE,53.330662,-6.260177
CHATHAM_STREET,53.340962,-6.262287
CHRISTCHURCH_PLACE,53.343368,-6.27012
CITY_QUAY,53.346637,-6.246154
CLARENDON_ROW,53.346637,-6.246154
CLONMEL_STREET,53.336021,-6.26298
COLLINS_BARRACKS_MUSEUM,53.347477,-6.28525
CONVENTION_CENTRE,53.34744,-6.238523
CUSTOM_HOUSE,53.348279,-6.254662
CUSTOM_HOUSE_QUAY,53.347884,-6.248048
DAME_STREET,53.344007,-6.266802
DENMARK_STREET_GREAT,53.35561,-6.261397
DEVERELL_PLACE,53.351464,-6.255265
EARLSFORT_TERRACE,53.334019,-6.258371
ECCLES_STREET,53.359246,-6.269779
ECCLES_STREET_EAST,53.358115,-6.265601
EMMET_ROAD,53.340714,-6.308191
EXCHEQUER_STREET,53.343034,-6.263578
EXCISE_WALK,53.347777,-6.244239
FENIAN_STREET,53.341428,-6.24672
FITZWILLIAM_SQUARE_EAST,53.335211,-6.2509
FITZWILLIAM_SQUARE_WEST,53.336074,-6.252825
FOWNES_STREET_UPPER,53.344603,-6.263371
FRANCIS_STREET,53.342081,-6.275233
FREDERICK_STREET_SOUTH,53.341515,-6.256853
GEORGES_QUAY,53.347508,-6.252192
GOLDEN_LANE,53.340803,-6.267732
GRAND_CANAL_DOCK,53.342638,-6.238695
GRANTHAM_STREET,53.334123,-6.265436
GRATTAN_STREET,53.339629,-6.243778
GREEK_STREET,53.346874,-6.272976
GUILD_STREET,53.347932,-6.240928
HANOVER_QUAY,53.344115,-6.237153
HARCOURT_TERRACE,53.332763,-6.257942
HARDWICKE_PLACE,53.357043,-6.263232
HARDWICKE_STREET,53.355473,-6.264423
HATCH_STREET,53.33403,-6.260714
HERBERT_PLACE,53.334432,-6.245575
HERBERT_STREET,53.334432,-6.245575
HEUSTON_BRIDGE_(NORTH),53.347802,-6.292432
HEUSTON_BRIDGE_(SOUTH),53.347106,-6.292041
HEUSTON_STATION_(CAR_PARK),53.346985,-6.297804
HEUSTON_STATION_(CENTRAL),53.346603,-6.296924
HIGH_STREET,53.343565,-6.275071
JAMES_STREET,53.343456,-6.287409
JAMES_STREET_EAST,53.336485,-6.248174
JERVIS_STREET,53.3483,-6.266651
JOHN_STREET_WEST,53.343105,-6.277167
KEVIN_STREET,53.337757,-6.267699
KILMAINHAM_GAOL,53.342113,-6.310015
KILMAINHAM_LANE,53.341805,-6.305085
KING_STREET_NORTH,53.350291,-6.273507
LEINSTER_STREET_SOUTH,53.34218,-6.254485
LIME_STREET,53.346026,-6.243576
MARKET_STREET_SOUTH,53.342296,-6.287661
MATER_HOSPITAL,53.359967,-6.264828
MERRION_SQUARE_EAST,53.339434,-6.246548
MERRION_SQUARE_WEST,53.339764,-6.251988
MOLESWORTH_STREET,53.341288,-6.258117
MOUNTJOY_SQUARE_WEST,53.356299,-6.258586
MOUNT_BROWN,53.341645,-6.29719
MOUNT_STREET_LOWER,53.33796,-6.24153
NEWMAN_HOUSE,53.337132,-6.26059
NEW_CENTRAL_BANK,53.347122,-6.234749
NORTH_CIRCULAR_ROAD,53.359624,-6.260348
OLIVER_BOND_STREET,53.343893,-6.280531
ORMOND_QUAY_UPPER,53.346057,-6.268001
PARKGATE_STREET,53.347972,-6.291804
PARNELL_SQUARE_NORTH,53.353462,-6.265305
PARNELL_STREET,53.350929,-6.265125
PEARSE_STREET,53.344304,-6.250427
PORTOBELLO_HARBOUR,53.330362,-6.265163
PORTOBELLO_ROAD,53.330091,-6.268044
PRINCES_STREET_/_O'CONNELL_STREET,53.349013,-6.260311
ROTHE_ABBEY,53.338776,-6.30395
ROYAL_HOSPITAL,53.343897,-6.29706
SANDWITH_STREET,53.345203,-6.247163
SIR_PATRICK_DUN'S,53.339218,-6.240642
SMITHFIELD,53.347692,-6.278214
SMITHFIELD_NORTH,53.349562,-6.278198
SOUTH_DOCK_ROAD,53.341833,-6.231291
ST._JAMES_HOSPITAL_(CENTRAL),53.339983,-6.295594
ST._STEPHEN'S_GREEN_EAST,53.337824,-6.256035
ST._STEPHEN'S_GREEN_SOUTH,53.337494,-6.26199
STRAND_STREET_GREAT,53.347082,-6.264192
ST_JAMES_HOSPITAL_(LUAS),53.341833,-6.231291
TALBOT_STREET,53.350974,-6.25294
THE_POINT,53.346867,-6.230852
TOWNSEND_STREET,53.345922,-6.254614
UPPER_SHERRARD_STREET,53.358437,-6.260641
WESTERN_WAY,53.354929,-6.269425
WILTON_TERRACE,53.332383,-6.252717
WOLFE_TONE_STREET,53.348875,-6.267459
YORK_STREET_EAST,53.338755,-6.262003
YORK_STREET_WEST,53.339334,-6.264699
