value,label
1,'BARROW STREET'
2,'BENSON STREET'
3,'BLACKHALL PLACE'
4,'BLESSINGTON STREET'
5,'BOLTON STREET'
6,'BROOKFIELD ROAD'
7,'CATHAL BRUGHA STREET'
8,'CHARLEMONT PLACE'
9,'CHATHAM STREET'
10,'CHRISTCHURCH PLACE'
11,'CITY QUAY'
12,'CLARENDON ROW'
13,'CLONMEL STREET'
14,'COLLINS BARRACKS MUSEUM'
15,'CONVENTION CENTRE'
16,'CUSTOM HOUSE'
17,'CUSTOM HOUSE QUAY'
18,'DAME STREET'
19,'DENMARK STREET GREAT'
20,'DEVERELL PLACE'
21,'EARLSFORT TERRACE'
22,'ECCLES STREET'
23,'ECCLES STREET EAST'
24,'EMMET ROAD'
25,'EXCHEQUER STREET'
26,'EXCISE WALK'
27,'FENIAN STREET'
28,'FITZWILLIAM SQUARE EAST'
29,'FITZWILLIAM SQUARE WEST'
30,'FOWNES STREET UPPER'
31,'FRANCIS STREET'
32,'FREDERICK STREET SOUTH'
33,'GEORGES QUAY'
34,'GOLDEN LANE'
35,'GRAND CANAL DOCK'
36,'GRANTHAM STREET'
37,'GRATTAN STREET'
38,'GREEK STREET'
39,'GUILD STREET'
40,'HANOVER QUAY'
41,'HARCOURT TERRACE'
42,'HARDWICKE PLACE'
43,'HARDWICKE STREET'
44,'HATCH STREET'
45,'HERBERT PLACE'
46,'HERBERT STREET'
47,'HEUSTON BRIDGE (NORTH)'
48,'HEUSTON BRIDGE (SOUTH)'
49,'HEUSTON STATION (CAR PARK)'
50,'HEUSTON STATION (CENTRAL)'
51,'HIGH STREET'
52,'JAMES STREET'
53,'JAMES STREET EAST'
54,'JERVIS STREET'
55,'JOHN STREET WEST'
56,'KEVIN STREET'
57,'KILMAINHAM GAOL'
58,'KILMAINHAM LANE'
59,'KING STREET NORTH'
60,'LEINSTER STREET SOUTH'
61,'LIME STREET'
62,'MARKET STREET SOUTH'
63,'MATER HOSPITAL'
64,'MERRION SQUARE EAST'
65,'MERRION SQUARE WEST'
66,'MOLESWORTH STREET'
67,'MOUNTJOY SQUARE WEST'
68,'MOUNT BROWN'
69,'MOUNT STREET LOWER'
70,'NEWMAN HOUSE'
71,'NEW CENTRAL BANK'
72,'NORTH CIRCULAR ROAD'
73,'OLIVER BOND STREET'
74,'ORMOND QUAY UPPER'
75,'PARKGATE STREET'
76,'PARNELL SQUARE NORTH'
77,'PARNELL STREET'
78,'PEARSE STREET'
79,'PORTOBELLO HARBOUR'
80,'PORTOBELLO ROAD'
81,"PRINCES STREET / O'CONNELL STREET"
82,'ROTHE ABBEY'
83,'ROYAL HOSPITAL'
84,'SANDWITH STREET'
85,"SIR PATRICK DUN'S"
86,'SMITHFIELD'
87,'SMITHFIELD NORTH'
88,'SOUTH DOCK ROAD'
89,'ST. JAMES HOSPITAL (CENTRAL)'
90,"ST. STEPHEN'S GREEN EAST"
91,"ST. STEPHEN'S GREEN SOUTH"
92,'STRAND STREET GREAT'
93,'ST JAMES HOSPITAL (LUAS)'
94,'TALBOT STREET'
95,'THE POINT'
96,'TOWNSEND STREET'
97,'UPPER SHERRARD STREET'
98,'WESTERN WAY'
99,'WILTON TERRACE'
100,'WOLFE TONE STREET'
101,'YORK STREET EAST'
102,'YORK STREET WEST'
