Station,Capacity,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,#1,#2,#3,4C0,4C1,4C2,4C3,Latitude,Longitude
BARROW_STREET,40,20.07476038,20.25254731,20.32531646,20.45751634,20.3114231,20.21002907,20.20127389,20.17518248,20.17038928,20.17956204,20.1942492,20.1541271,20.12204473,20.1122449,20.1122449,20.11443149,20.13610224,19.94049347,19.24428934,18.58900145,17.91077119,17.10297317,16.98040455,17.8,17.87262357,17.54985337,16.94177863,17.01611722,17.54685494,17.9421365,18.03516624,18.62871646,21.73108709,24.8583815,26.24762508,27.12445415,28.51077313,29.40729927,30.24545455,30.31787584,30.11718236,29.65967016,29.30859375,29.28700906,28.60594315,28.89776119,28.96549479,28.55077835,28.28959276,28.09718101,28.14443722,27.96096096,27.53177691,27.65840841,27.18668407,26.60193452,27.03655352,26.72720478,26.51760104,25.94135115,25.16224952,25.36032689,25.19620667,24.56678967,24.01868557,23.95697329,23.64386189,23.20510949,22.55288774,20.90051967,20.32743942,19.71524164,19.79235333,18.1290082,17.27846454,16.91754123,16.56171617,15.83059701,15.68882979,15.91092177,15.79919947,15.73750932,16.42034806,16.65981735,16.53765553,16.45976155,16.69225806,17.37546468,17.71240972,17.99775281,18.33246753,18.59590044,19.19099678,19.53986832,19.73214286,19.86151603,HANOVER_QUAY,GRAND_CANAL_DOCK,BENSON_STREET,0,1,0,0,53.341655,-6.236198
BENSON_STREET,40,6.323303009,6.336515513,6.29266621,6.280784314,6.317899102,6.306782334,6.288965517,6.300870942,6.318276581,6.320349762,6.32776618,6.269689737,6.325678497,6.316666667,6.316666667,6.316666667,6.324982603,6.287638669,6.173972603,6.137957911,6.120326309,6.014195584,6.402414487,8.310549777,10.14667536,12.00146092,12.24315722,12.73101952,14.55555556,17.3953824,21.14873418,23.19638989,25.52721519,26.64536971,28.34987437,30.12427746,31.14593909,31.10327273,30.86790045,30.67178363,30.69968051,30.71616679,30.70543131,30.59221161,30.24374599,29.6377025,28.76553491,27.88390889,27.3814165,26.67378498,26.57244044,26.46119734,26.72493573,26.83418929,26.47661755,26.25386313,26.25096031,26.15281899,25.57014734,25.56431227,24.40456026,23.28773234,23.00395517,21.83966565,19.36715621,16.79581994,15.92921811,14.53959873,13.80170576,11.19741935,9.161214953,7.681751825,7.172560113,6.502857143,6.39192399,6.492577598,6.409722222,6.086434574,5.435210009,5.682926829,5.706896552,5.482949309,5.638956805,5.567230632,5.556390977,5.732597623,5.727206419,5.883606557,5.936789773,6.001611604,6.072902338,6.152462862,6.281207133,6.378896882,6.347826087,6.337589785,SOUTH_DOCK_ROAD,NEW_CENTRAL_BANK,HANOVER_QUAY,0,1,0,0,53.344153,-6.233451
BLACKHALL_PLACE,40,23.72612271,23.90634006,23.9906015,24.04169662,24.05180038,24.05924855,24.05323194,24.04212055,24.05142857,24.04793028,24.04958678,24.05232558,24.04958678,24.0630892,24.07106599,24.07106599,24.01716465,23.76767677,23.56628788,23.4483008,23.0530638,22.11811594,21.40089229,20.55384615,19.52546744,17.63387574,15.69175393,13.66105769,12.63018242,11.53538462,11.3828045,9.137809187,8.150276243,7.603674541,7.83974359,8.059027778,7.578461538,6.880991736,6.664305949,5.873831776,5.415322581,5.0640625,4.193138501,3.805555556,3.479487179,3.065934066,3.070019724,3.462242563,3.203933747,3.229965157,3.34906588,3.132917965,3.26369545,3.399795501,3.574108818,3.633149171,3.701785714,3.530028599,3.881588999,4.256944444,4.733433735,4.986348123,5.180889861,5.540740741,6.149894441,6.822884013,7.188251001,7.67148289,9.386438446,10.65862849,11.80091683,12.6443299,13.74736148,14.56993269,15.33829237,15.92799412,16.57810499,16.89210717,17.48005148,17.96554252,18.38372093,18.87490856,19.52532468,19.86592593,20.09143593,20.35970696,20.59696778,20.88968998,21.17751105,21.59604106,22.08285532,22.4750181,22.77840552,23.2078853,23.40288221,23.61234745,SMITHFIELD_NORTH,SMITHFIELD,COLLINS_BARRACKS_MUSEUM,0,0,1,0,53.3488,-6.281637
BLESSINGTON_STREET,40,14.16425425,14.27741935,14.36221945,14.44062947,14.50785669,14.52408339,14.52332913,14.53251445,14.53695515,14.56358382,14.57621758,14.64642082,14.62618596,14.62121212,14.63699495,14.66450216,14.63757116,14.54960174,14.43401015,14.10174419,13.75417202,12.90733877,11.42686962,9.778471139,9.111272727,8.567028986,8.03812825,7.249204666,6.658189217,5.679113186,5.546498278,6.257884972,5.922279793,5.476386037,5.27254902,5.126903553,5.027139875,5.428240741,6.516699411,6.50524109,6.133779264,6.757798165,6.927068724,6.728096677,6.08186398,5.23095526,5.271205357,4.921976593,4.665427509,4.366878981,4.900807382,4.558171745,4.305023923,4.576100629,4.683157895,4.572077185,4.460600375,4.659597031,4.986486486,5.41315519,5.500459982,5.5639413,5.406706793,5.414078675,4.861445783,4.860771402,5.055825243,4.956999085,5.180565627,5.849878935,6.264351524,6.739770867,7.251563586,7.798766384,8.480978261,8.78515625,8.868841545,9.406753645,9.793172691,10.07709751,10.42991281,10.63444109,10.95986622,11.29529684,11.372,11.73509434,12.22105263,12.41439394,12.54283846,12.84569288,13.32874918,13.41513593,13.60102302,13.76049204,13.90886392,14.11714286,WESTERN_WAY,ECCLES_STREET_EAST,ECCLES_STREET,1,0,0,0,53.356769,-6.26814
BOLTON_STREET,40,9.788696211,9.820306793,9.883133291,9.908959538,10.0215873,10.04502542,10.03949045,10.04160584,10.04020421,10.04744526,10.02364217,10.05040175,10.04217252,10.04591837,10.04846939,10.05102041,10.00447284,9.984626647,9.990131579,9.907956318,9.708274895,9.354675653,8.77579807,8.423076923,8.084096586,7.331406551,6.729543497,6.06763285,5.937657961,6.035227273,5.473526474,5.196099675,5.374475231,5.562688064,5.522633745,4.57050592,5.176106195,6.162410623,5.83161512,5.300283286,5.400630915,5.526684164,5.702766798,5.725671918,5.773913043,6.046029919,5.70125523,6.025112108,6.732488823,7.101725704,6.748091603,6.988372093,7.596590909,7.793924466,7.593552908,7.508757962,7.739471806,7.424836601,7.659808964,7.647577093,7.310164425,7.4082397,7.168539326,7.332035054,7.306353351,7.083945435,6.924270073,6.580586081,7.10041841,6.842894969,7.005219985,7.035449299,6.957553957,7.244915254,7.38365243,7.653654485,7.775017743,7.843042071,8.03470255,8.518189167,8.916905444,9.0688,9.271139064,9.537676609,9.821182944,9.744462025,9.44190732,9.278614458,9.364674278,9.491419657,9.557575758,9.511295181,9.751642576,9.699186992,9.703536977,9.751094891,WOLFE_TONE_STREET,KING_STREET_NORTH,WESTERN_WAY,1,0,0,0,53.351182,-6.269859
BROOKFIELD_ROAD,40,22.7659709,22.84293948,22.93671679,22.98634076,23.13139608,23.15679191,23.15589354,23.12200436,23.12825397,23.1372549,23.13604577,23.17805233,23.13413859,23.14720812,23.14720812,23.14720812,23.13159568,23.16606236,23.22779188,23.02175489,22.72520531,22.66811594,22.26362484,21.28278388,19.87922078,18.79389881,17.75033467,16.15703125,14.96952516,13.86900369,13.71183013,13.375,12.38033175,10.92231638,10.19172414,10.16697588,9.709401709,9.278978389,8.962962963,7.994140625,7.503311258,6.949275362,7.248263889,7.729490022,6.943533698,6.493877551,5.851265823,5.441666667,5.067729084,4.7517934,4.793333333,4.441176471,4.063192905,3.943645084,4.049145299,4.204819277,4.157472417,4.063564132,4.108901515,4.143984221,4.27027027,4.248175182,4.5608,4.873987399,5.227134146,5.860899067,7.013231198,8.191659984,9.714776632,11.17535903,12.50487964,13.35814296,14.43023256,15.43440233,16.36638764,16.82532751,17.38520408,17.92649199,18.41939627,18.77339181,19.19383825,19.55539359,20.06395349,20.36651917,20.54533762,20.92511013,21.18929254,21.29876722,21.65159236,21.81419166,21.97970831,22.23099203,22.24544884,22.45597709,22.64661654,22.73725772,ROTHE_ABBEY,MOUNT_BROWN,ST._JAMES_HOSPITAL_(CENTRAL),0,0,1,0,53.339005,-6.300217
CATHAL_BRUGHA_STREET,40,13.88295165,13.8149492,13.78652393,13.87066474,13.96507937,14.00653595,13.99936306,14.04525547,14.09125718,14.1080292,14.10415335,14.11906501,14.10095847,14.1122449,14.1122449,14.1122449,14.12685126,14.09701493,14.12214239,14.08383234,14.10705128,14.21091445,14.04114958,13.42770628,12.91198375,11.99690881,11.12836879,10.42459983,9.979196557,9.602368866,9.082730924,8.80742913,8.377650897,8.26987061,8.727027027,8.556173526,7.922502334,8.215869312,8.387995713,8.065320665,7.122395833,7.474505723,7.60600546,7.313919052,7.292743953,7.421309873,7.529362416,7.57103321,7.542745098,7.852119026,8.087920489,8.252784919,8.547498187,8.828711256,8.797008547,8.67502021,8.914285714,9.030557678,9.487060385,9.970542636,10.21983914,10.68858655,11.32060566,11.33308214,11.1127321,11.05359877,11.33289732,11.59267564,12.15414508,12.71772429,13.44840764,13.1889132,13.38252058,13.71818835,14.15796098,14.46710051,14.4763108,14.45086705,14.71601787,14.80436364,14.84605516,14.66158315,14.77012234,14.56086632,14.03365696,14.02462687,14.03120936,13.83847283,13.77884615,13.84032377,13.97834395,13.86676322,13.71918679,13.50035842,13.60875079,13.71356421,PRINCES_STREET_/_O'CONNELL_STREET,DENMARK_STREET_GREAT,MOUNTJOY_SQUARE_WEST,1,0,0,0,53.352149,-6.260533
CHARLEMONT_PLACE,40,25.05629349,25.03951149,24.85162095,24.85336195,24.83406662,24.8317757,24.86128625,24.78901734,24.80795957,24.82080925,24.8684377,24.98770788,25.12839975,25.15656566,25.15656566,25.15656566,25.19797596,25.70634921,27.00189394,27.67317426,28.1004422,28.69782609,29.58343869,29.12481962,27.02341772,24.24404332,21.79069767,20.1936255,18.10939794,16.62864721,14.83373301,13.30252101,13.16847373,12.79170507,13.01913876,12.89529725,13.4380805,13.9144385,13.50331126,13.00753138,12.70719424,12.55260978,12.49888807,11.80898876,11.26765799,10.84405286,10.09556057,9.533156499,9.254066615,8.744863014,8.533873343,8.294407895,8.503914591,8.575331772,8.957894737,9.016393443,9.646782842,9.736111111,9.699792961,9.64028777,9.046928916,8.989499192,9.204095563,9.895348837,10.46254928,11.41189591,13.3683871,15.01315789,18.59280668,19.60290909,20.80719794,21.34283626,22.96212121,23.75849602,24.37774984,24.809319,25.31099874,25.83913043,26.14167198,26.65423977,27.2830552,26.8769008,26.4812936,26.57672727,26.44706633,26.24871982,26.20153551,25.74526929,25.38962682,24.89427951,24.83952171,24.93120927,24.81778058,24.49076705,24.48288737,24.96913137,HARCOURT_TERRACE,HATCH_STREET,EARLSFORT_TERRACE,0,0,1,0,53.330662,-6.260177
CHATHAM_STREET,40,11.60092792,11.46466313,11.21868653,11.19797966,11.1847556,11.18600742,11.17818541,11.17679887,11.17494723,11.17494723,11.17007081,11.16937229,11.17007081,11.17494723,11.17494723,11.17494723,11.15406755,10.89870755,10.46425894,10.63787005,10.88856449,11.10421441,11.2513122,11.7297199,12.22002087,12.50665434,13.67113063,14.34254348,15.40368615,15.59527601,15.87407873,16.02168294,16.63860927,16.17160987,16.12539666,15.63981261,15.63849027,15.81142463,16.27635223,16.53418656,16.95272657,17.26638117,17.59308091,17.8940239,18.27319142,18.42206787,18.48612892,18.72851814,19.06240747,19.06920869,19.2418843,19.24944136,19.03230242,18.68788108,18.25612306,17.77093479,17.2620041,16.67034176,16.4482022,16.14241308,16.09152433,15.75859453,15.46495425,15.30631589,15.2384421,14.9034366,14.88242609,14.68097612,14.5759544,14.01277918,13.93997286,13.90820273,13.82308813,13.86316723,13.67081251,13.44978808,13.20265922,12.85020645,12.57805047,12.4653097,12.42429916,12.34735034,12.24815255,12.47244469,12.34651828,12.44046317,12.53994502,12.29445006,12.70419004,12.87769259,12.73387784,12.60148572,12.52980644,12.3449886,12.05184922,11.82490413,YORK_STREET_EAST,EXCHEQUER_STREET,YORK_STREET_WEST,0,1,0,0,53.340962,-6.262287
CHRISTCHURCH_PLACE,40,8.541264737,8.457564576,8.243617021,8.193236715,8.223280423,8.246060606,8.28358209,8.263669502,8.299145299,8.299145299,8.299145299,8.299145299,8.299145299,8.299145299,8.299145299,8.299145299,8.410423453,8.407453416,8.270588235,7.771167048,7.180492252,7.005045409,7.084432718,7.116374871,6.62022293,6.785583942,6.74042879,6.976979742,6.791570881,6.866127583,6.772191673,6.857852883,6.521496815,7.046570703,7.30007391,7.715425532,7.761555393,7.961316872,8.168821839,8.462994836,8.781499203,8.612099644,8.47826087,8.820512821,9.104132231,8.893023256,8.882502113,8.732213439,8.811270125,8.600585938,8.676068376,8.411239964,8.600458365,8.464754098,8.948312994,9.070343725,9.270344828,9.438567941,9.416261293,9.615128845,9.299859551,9.291770574,8.894350697,9.097826087,8.950325733,8.458699473,8.705882353,8.404553415,8.479631053,8.330749354,8.561847988,8.550170068,8.601825843,9.108108108,9.481272085,9.494117647,9.82739726,10.0109375,10.0999306,10.14274448,10.50212465,10.7879538,11.06988848,10.98695652,10.59408194,10.90909091,10.76175041,10.82854406,10.96539485,10.67698658,10.2068654,9.855305466,9.733862959,9.628361858,8.782654127,8.618932039,DAME_STREET,ORMOND_QUAY_UPPER,GOLDEN_LANE,1,0,0,0,53.343368,-6.27012
