,CHATHAM STREET,BLESSINGTON STREET,BOLTON STREET,GREEK STREET,CHARLEMONT PLACE,CHRISTCHURCH PLACE,HIGH STREET,CUSTOM HOUSE QUAY,EXCHEQUER STREET,DAME STREET,EARLSFORT TERRACE,ECCLES STREET,FITZWILLIAM SQUARE WEST,FOWNES STREET UPPER,HARDWICKE STREET,GEORGES QUAY,GOLDEN LANE,GRANTHAM STREET,HERBERT PLACE,JAMES STREET EAST,LEINSTER STREET SOUTH,TOWNSEND STREET,CUSTOM HOUSE,CATHAL BRUGHA STREET,MERRION SQUARE EAST,MERRION SQUARE WEST,MOLESWORTH STREET,MOUNTJOY SQUARE WEST,ORMOND QUAY UPPER,PARNELL SQUARE NORTH,PARNELL STREET,PEARSE STREET,PRINCES STREET / O'CONNELL STREET,PORTOBELLO HARBOUR,SMITHFIELD,ST. STEPHEN'S GREEN EAST,ST. STEPHEN'S GREEN SOUTH,TALBOT STREET,WILTON TERRACE,JERVIS STREET,HARCOURT TERRACE,SMITHFIELD NORTH,PORTOBELLO ROAD,UPPER SHERRARD STREET,DEVERELL PLACE,STRAND STREET GREAT,EXCISE WALK,GUILD STREET,YORK STREET WEST,YORK STREET EAST,NEWMAN HOUSE,CLONMEL STREET,HATCH STREET,MOUNT STREET LOWER,GRATTAN STREET,SIR PATRICK DUN'S,DENMARK STREET GREAT,NORTH CIRCULAR ROAD,HARDWICKE PLACE,LIME STREET,FENIAN STREET,SANDWITH STREET,CONVENTION CENTRE,NEW CENTRAL BANK,THE POINT,HANOVER QUAY,GRAND CANAL DOCK,BARROW STREET,KEVIN STREET,JOHN STREET WEST,FRANCIS STREET,OLIVER BOND STREET,JAMES STREET,MARKET STREET SOUTH,WOLFE TONE STREET,MATER HOSPITAL,ECCLES STREET EAST,ST. JAMES HOSPITAL (LUAS),ST. JAMES HOSPITAL (CENTRAL),MOUNT BROWN,EMMET ROAD,BROOKFIELD ROAD,ROTHE ABBEY,PARKGATE STREET,COLLINS BARRACKS MUSEUM,BLACKHALL PLACE,FITZWILLIAM SQUARE EAST,BENSON STREET,SOUTH DOCK ROAD,HEUSTON BRIDGE (NORTH),HEUSTON STATION (CENTRAL),HEUSTON STATION (CAR PARK),ROYAL HOSPITAL,KILMAINHAM LANE,KILMAINHAM GAOL,FREDERICK STREET SOUTH,CITY QUAY,HEUSTON BRIDGE (SOUTH),KING STREET NORTH,WESTERN WAY
CHATHAM STREET,0,8.154752089,6.153581523,5.909551926,5.086564874,3.96430155,6.311731319,7.659598874,1.181078989,2.634669668,3.856429355,9.559494948,5.152397491,1.837904938,7.095987687,5.820814124,2.635382757,3.642560446,8.680459219,7.163101653,3.820282043,4.420210214,5.112657646,5.478326446,7.650238027,5.01619333,2.023577726,7.632933432,3.70375478,6.221194271,5.013643352,5.961251912,4.010627678,5.313624655,8.365056794,3.384297422,1.683940018,6.62650812,6.217916808,4.130445652,4.48919976,8.750124429,5.951292884,8.49172591,6.111922518,3.10094493,9.33327487,10.86963972,1.407843693,1.076537948,2.026671306,2.413824661,3.438921696,10.14659818,8.977740812,10.50566345,7.099687358,9.077171664,7.793317553,9.377945277,7.534599265,7.59913558,11.91639611,13.65197729,15.47406959,12.25499113,11.44243992,12.62616115,3.042976398,7.273133056,6.286553995,8.939522141,12.21362523,12.29274943,4.573459464,9.276327481,8.451984512,14.83631118,16.12069552,16.8891046,22.20841689,18.37472566,20.1840469,14.67734416,11.54784216,10.10026149,6.171701499,14.03585004,15.00160699,14.95469582,16.97795823,17.42824047,16.88279682,20.70944399,23.097247,2.642516308,8.273862709,14.69850518,7.0593965,7.588450717
BLESSINGTON STREET,8.154752089,0,2.828005404,5.328284568,13.20487954,6.553711026,7.214610166,10.62841857,7.001860066,6.208023061,11.97814328,1.436946395,12.45553963,6.321895921,1.904436088,8.922100874,7.726781177,11.03382923,15.36091263,13.76972203,9.667390699,8.388078877,7.706412946,4.305792199,13.39609414,11.3465709,8.922324708,4.627760159,5.182840652,2.107337817,3.179666849,10.47866024,5.331596883,12.85648312,6.560318362,10.87670317,9.788296929,7.869981777,13.9593383,4.160098687,12.61847568,5.986242462,12.90674746,3.71663682,6.736887947,5.060790522,12.3544225,13.84180605,8.59766155,9.206936532,10.17825759,10.34352975,11.57277587,15.76509263,14.4109531,15.78220899,3.310062718,4.014801455,2.378159683,12.97075973,12.74651212,11.58893721,15.02254815,16.81506003,18.66495995,16.19315105,15.80085155,17.09598092,9.200371044,7.922884747,7.891157763,8.64528685,11.33081257,11.75667064,3.833256837,2.227374801,1.390286814,14.13022082,15.56804535,15.84481952,20.87529238,17.73944818,19.38865061,12.21398152,9.419629553,7.582986878,13.35451849,17.85777811,19.23611881,12.52745435,14.76853835,15.11173517,15.31462847,19.28425085,21.46386455,9.180382283,11.71183547,12.47243216,4.069891137,1.085773314
BOLTON STREET,6.153581523,2.828005404,0,2.572519091,10.97703029,3.782476758,4.465178364,10.67198569,4.977226706,3.773157304,9.991760049,3.90150908,11.01531506,4.470253551,3.350525231,8.730056318,5.125657623,8.525937969,14.27213764,12.6735731,8.619089194,7.802112852,7.485162498,4.536054919,12.6289605,10.2598997,7.428500141,5.989369674,2.637357357,2.463900973,2.293550527,9.972612795,4.736957905,10.32563462,4.380572906,9.300171439,7.63847449,8.185934021,12.30826822,2.086336583,10.61346362,4.109783917,10.24141771,5.67518841,7.06181177,3.383963399,12.50379804,14.08469045,6.252013159,7.112714944,8.143234535,8.05450739,9.403822605,15.12469322,13.80035698,15.27419376,4.620491938,6.152495522,4.280101805,12.95792594,12.14847653,11.3548163,15.26788734,17.09920712,18.98647737,16.18814223,15.63333025,16.92468855,6.578467821,5.269690076,5.113320564,6.252395024,9.276918766,9.62583105,1.610551751,4.897737636,3.936226314,12.14055505,13.57823475,14.00446935,19.22387647,15.82449239,17.55116792,10.72984529,7.658784493,5.813492585,11.99299118,17.93924146,19.19934688,11.04243606,13.27996772,13.67125806,13.62347545,17.635607,19.9165309,7.839959509,11.6772352,10.91119579,1.81676091,1.824896471
GREEK STREET,5.909551926,5.328284568,2.572519091,0,9.992938631,2.187733156,1.894751514,12.06991872,4.91159632,3.293284204,9.412964088,6.182110937,11.06084092,4.774965416,5.867621139,10.05985752,3.881121162,7.16668366,14.55905863,13.00921412,9.229581777,8.895362081,8.886243808,6.538455561,13.2827109,10.72069186,7.679893714,8.322143781,2.439115657,4.89197089,4.274979578,10.97970355,6.214027232,8.837547301,2.564829269,9.292125118,6.988719411,9.894170276,12.05042277,3.136804429,9.975334576,2.841426754,8.462856644,8.179632209,8.851553163,4.25084024,13.90965844,15.51308582,5.416774972,6.603834325,7.623707012,7.138345308,8.590924868,15.8128242,14.55419523,16.07553034,7.017367908,8.681767397,6.813673517,14.22946735,12.97287359,12.51432096,16.67041354,18.49439327,20.37935068,17.38228769,16.71108834,17.9712434,5.096317963,2.726894023,2.563055088,3.929302773,7.175734488,7.44174545,2.839229098,7.460737715,6.504302538,10.02535518,11.43904759,11.98463258,17.29550574,13.71787786,15.48871974,9.124354904,5.945252758,4.292495882,12.07912688,19.16722778,20.31389291,9.423402629,11.5866473,12.01176451,11.74037838,15.72653404,18.06668616,8.219805971,12.97683683,9.224220911,1.672966648,4.258836049
CHARLEMONT PLACE,5.086564874,13.20487954,10.97703029,9.992938631,0,7.805532908,9.533554514,10.19084753,6.207538511,7.208042085,1.844207374,14.58817033,4.416637692,6.919325852,12.17792222,9.019201557,6.117997282,3.045814584,7.296017268,6.454246175,6.215639914,7.857965546,8.930872797,10.39671445,7.841313286,5.923391278,5.236511106,12.42689492,8.354680463,11.30606005,10.0930433,8.112274665,8.878345585,2.416560728,12.00116319,4.002660478,3.419682808,10.43192762,3.703900757,9.089820238,1.484028694,12.63403962,3.816021677,13.43926114,10.34065378,8.177935631,11.31440692,12.51126909,4.731598816,4.013770489,3.136519681,2.925883275,1.650000459,9.687627648,9.042350582,10.31765874,12.08412277,14.01189427,12.84826995,10.94322668,8.337526093,9.440869259,13.25275829,14.65437389,16.20932983,12.9009693,11.89879132,12.76188881,5.002524339,10.18830271,9.142005683,11.74479431,14.55624576,14.43880949,9.489534451,14.35503997,13.53834994,16.67905533,17.71800334,18.67839733,23.73249838,19.78716993,21.53788103,17.44280171,14.60545659,13.59383291,4.99870081,14.48385195,14.98350993,17.67117562,19.37870895,19.84282981,18.95782895,22.38506746,24.73959375,5.491365297,10.28384558,17.34737913,11.47915021,12.56387574
CHRISTCHURCH PLACE,3.96430155,6.553711026,3.782476758,2.187733156,7.805532908,0,2.397160887,10.89952595,3.169104416,1.634726853,7.264051579,7.68345694,9.080903256,3.319344487,6.472488322,8.901719951,1.695474237,5.01398292,12.63721345,11.12729592,7.585927827,7.602792178,7.84683434,6.28963326,11.56172729,8.943761916,5.89352805,8.382968633,1.65630716,5.410565038,4.384114488,9.538116199,5.475271265,6.733747093,4.439581995,7.323104451,4.852453674,9.089716158,9.956465598,2.917186661,7.812486928,4.924724495,6.501383487,8.612709629,8.184796187,3.38431236,12.70146994,14.29448755,3.269117828,4.516821632,5.509917697,4.956424835,6.412256229,14.07695524,12.87184752,14.4019227,7.27233563,9.17615718,7.407744719,12.90605833,11.35962577,11.14188921,15.41286581,17.2083944,19.07290365,15.95334004,15.20733686,16.43218129,2.956476407,3.411671803,2.550799935,5.043182302,8.364427717,8.502068448,2.958985269,8.428747051,7.461973929,11.08818758,12.43250499,13.12281296,18.46323259,14.71295635,16.51684854,10.72445103,7.584943703,6.160506415,10.1012846,17.74431722,18.79992133,11.00550332,13.06172569,13.50719109,13.03593048,16.9327598,19.3105205,6.480801358,11.70197786,10.75833708,3.728660577,5.603243194
HIGH STREET,6.311731319,7.214610166,4.465178364,1.894751514,9.533554514,2.397160887,0,13.23949964,5.566179068,4.006205934,9.306171518,8.006744602,11.35628735,5.682625578,7.728306938,11.23190598,3.793686533,6.52646538,14.93840263,13.45587512,9.981903901,9.962454396,10.1337186,8.167939165,13.94323906,11.31781371,8.275892613,10.07767974,3.626681619,6.726747901,5.987165111,11.92798566,7.611704819,7.986089308,2.509702512,9.619217114,6.976870514,11.29091742,12.092326,4.673478446,9.797113107,3.272042699,7.351881023,10.02518514,10.31596262,5.531398634,15.0548912,16.65275259,5.419354319,6.736889232,7.666007809,6.89477666,8.338116567,16.45195585,15.2586596,16.78879406,8.815951882,10.54025775,8.678929719,15.28354724,13.75496125,13.52496659,17.78081838,19.58330856,21.45246177,18.34644134,17.60421439,18.82922273,4.540435719,1.038166171,0.7222159104,2.646278844,5.969286803,6.121832407,4.490138611,9.355443845,8.398861052,8.715830769,10.07900665,10.7412852,16.0825227,12.36390142,14.16229709,8.371387868,5.275704791,4.062650246,12.3725274,20.13752746,21.19708215,8.645669023,10.67403095,11.12185806,10.63936499,14.54554524,16.92029572,8.869389187,14.06860195,8.386816092,3.340814864,6.139000842
CUSTOM HOUSE QUAY,7.659598874,10.62841857,10.67198569,12.06991872,10.19084753,10.89952595,13.23949964,0,7.871191749,9.264927624,8.362822617,11.86363224,6.16331567,7.581216812,8.731562682,2.013079118,10.1204447,10.72788777,6.617061415,5.515107931,4.160928558,3.315378371,3.205516693,6.382885018,4.151972601,4.366441077,5.823484202,6.524260883,9.693529744,8.774141637,8.392066305,2.079530005,5.957859523,11.84993544,14.59443396,6.214370415,8.412060859,2.799316,7.832098454,9.002275045,8.742309648,14.60897076,12.94934723,7.948807185,3.897517401,7.820006562,1.843499371,3.444693575,9.055593901,8.067632929,7.992235703,9.226343774,9.081436917,5.744129685,4.496370771,5.515008516,7.46184073,8.226176009,8.578876414,2.342830851,3.188770296,1.36589324,4.613144305,6.444532928,8.333863204,5.577423945,5.188095962,6.476755944,10.69522361,14.27607173,13.44825443,15.83326,19.16274594,19.35428396,9.403161428,10.00375319,9.829256567,21.95197588,23.31792046,23.96545821,29.3028784,25.60200404,27.40167972,21.16894548,17.999192,16.25620768,6.28446415,7.288979769,8.619303314,21.47276213,23.65404945,24.07559726,23.79005109,27.75045702,30.10900839,5.257403543,1.097077011,21.28688983,12.3718442,10.88922121
EXCHEQUER STREET,1.181078989,7.001860066,4.977226706,4.91159632,6.207538511,3.169104416,5.566179068,7.871191749,0,1.629238217,5.036646431,8.397438913,6.196885625,0.7656508828,6.03178652,5.918480556,2.28118506,4.403805995,9.652907343,8.09792175,4.418500502,4.556249117,5.0045258,4.649342354,8.421090955,5.826076465,2.773750766,6.856924929,2.591866998,5.113724183,3.892191431,6.391977169,3.29625949,6.178411176,7.430763014,4.435128491,2.788155775,6.422096125,7.359481472,2.949720567,5.667995099,7.746136982,6.624032553,7.586140857,5.727823348,1.980799379,9.633375261,11.21122564,1.87039156,2.205935676,3.200428012,3.405161689,4.571139498,10.94551588,9.719739306,11.24883562,6.17501456,8.176853345,6.779540971,9.784517435,8.192730156,8.010511211,12.30746281,14.08683169,15.94087823,12.7949566,12.03977753,13.26307748,3.239231972,6.574370253,5.657440665,8.212286337,11.53110908,11.65668702,3.392755248,8.214379441,7.361452513,14.23357606,15.55933004,16.27517238,21.6126787,17.83258879,19.64007539,13.86297236,10.70285742,9.171369746,7.20725238,14.58532083,15.6310689,14.14870539,16.22474279,16.66830675,16.20378004,20.08965004,22.47037332,3.335479541,8.607968641,13.91044066,5.94986508,6.412390444
DAME STREET,2.634669668,6.208023061,3.773157304,3.293284204,7.208042085,1.634726853,4.006205934,9.264927624,1.629238217,0,6.323506004,7.511903768,7.775238204,1.684755991,5.665328087,7.268340558,1.614055194,4.827273373,11.26592827,9.719123342,6.024092074,5.968824968,6.22629492,4.971384112,10.04542469,7.455105791,4.402851898,7.152893492,1.148958052,4.631254146,3.445702747,7.92343434,3.965729852,6.648825269,5.801759989,6.006803891,3.917673775,7.505739453,8.83510362,2.078213227,6.925648849,6.133451521,6.759241935,7.590835928,6.645953372,1.951300445,11.0671775,12.66090196,2.479158384,3.44187945,4.482728525,4.283256781,5.654482635,12.57158034,11.33846462,12.86638251,6.192635505,8.175190174,6.538962463,11.27898114,9.795346491,9.518838324,13.78166231,15.58011425,17.44735584,14.34411188,13.61412596,14.84970061,3.05469676,5.033479729,4.183946192,6.642240697,9.973112012,10.12535785,2.376462968,7.780192429,6.850056655,12.71543645,14.06478966,14.74588459,20.08703827,16.3461068,18.14929778,12.24698477,9.081549442,7.542383509,8.791797724,16.13517776,17.21218358,12.5348375,14.6268711,15.06762899,14.63874416,18.55170919,20.92627332,4.961962313,10.07009177,12.30218491,4.445795211,5.434244201
